@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
1,'2019/05/12 08:40:52:477',1,307.526367,400.046631,54.757137,363.687775,385.864532,69.913391,397.548737,386.478851,72.535568,434.106476,386.43103,70.965027,477.255981,388.34668,66.350212,0,0,133.776031,-0.553058,5.28636,-6.885839,?,?,?,?,?,?,0,?,0
2,'2019/05/12 08:40:52:524',1,307.437378,400.015106,54.749786,363.617798,385.873535,69.920914,397.48822,386.50061,72.543533,434.06076,386.493347,70.973747,477.211121,388.371399,66.36013,0,0,133.330215,-0.535175,5.290929,-6.891465,?,?,?,?,?,?,0,?,0
3,'2019/05/12 08:40:52:574',1,307.361572,399.987366,54.736332,363.51886,385.948181,69.9328,397.396637,386.580872,72.557236,433.968323,386.580048,70.990074,477.173584,388.407135,66.380386,0,0,132.406158,-0.510484,5.283504,-6.923776,?,?,?,?,?,?,0,?,0
4,'2019/05/12 08:40:52:624',1,307.309692,399.957336,54.726387,363.454559,385.984222,69.936974,397.338043,386.693787,72.562088,433.917755,386.634857,70.995872,477.134094,388.437225,66.388,0,0,131.243286,-0.492006,5.288628,-6.934896,?,?,?,?,?,?,0,?,0
5,'2019/05/12 08:40:52:674',1,307.26123,399.935303,54.724701,363.418579,386.005157,69.941765,397.321594,386.747711,72.566437,433.895691,386.659271,70.999664,477.127533,388.446899,66.391624,0,0,130.702484,-0.481194,5.298833,-6.928111,?,?,?,?,?,?,0,?,0
6,'2019/05/12 08:40:52:723',1,307.203094,399.910553,54.719643,363.351471,386.059937,69.945663,397.269104,386.831207,72.569031,433.819672,386.714325,71.001137,477.116394,388.470764,66.393333,0,0,129.920242,-0.469313,5.308954,-6.91548,?,?,?,?,?,?,0,?,0
7,'2019/05/12 08:40:52:774',1,307.140198,399.880676,54.718227,363.325287,386.096466,69.950706,397.280212,386.853607,72.572479,433.771912,386.755005,71.002411,477.105408,388.492676,66.394005,0,0,129.597885,-0.460884,5.316123,-6.895072,?,?,?,?,?,?,0,?,0
8,'2019/05/12 08:40:52:823',1,307.106781,399.859314,54.719463,363.307098,386.116882,69.955704,397.248901,386.875671,72.575775,433.724854,386.806427,71.004417,477.050537,388.530518,66.396019,0,0,129.330719,-0.450604,5.323263,-6.879391,?,?,?,?,?,?,0,?,0
9,'2019/05/12 08:40:52:874',1,307.249512,399.801086,54.706478,363.429291,386.095642,69.959312,397.314789,386.890137,72.581543,433.816681,386.83374,71.013382,477.132385,388.538391,66.409485,0,0,128.879684,-0.436322,5.333617,-6.916316,?,?,?,?,?,?,0,?,0
10,'2019/05/12 08:40:52:923',1,307.245911,399.782684,54.703712,363.421265,386.079285,69.959473,397.29248,386.887268,72.581848,433.804932,386.840057,71.014145,477.13266,388.52533,66.411018,0,0,128.571945,-0.428408,5.351398,-6.920388,?,?,?,?,?,?,0,?,0
11,'2019/05/12 08:40:52:973',1,307.240295,399.737671,54.702652,363.432892,386.065796,69.964561,397.29776,386.882904,72.586411,433.799561,386.85083,71.018402,477.149445,388.5047,66.416161,0,0,127.829124,-0.417719,5.374102,-6.918601,?,?,?,?,?,?,0,?,0
12,'2019/05/12 08:40:53:026',1,307.232422,399.697571,54.706238,363.431854,386.063263,69.971008,397.295746,386.86264,72.59169,433.817688,386.85788,71.023163,477.177734,388.473206,66.420677,0,0,127.183777,-0.414608,5.39125,-6.909426,?,?,?,?,?,?,0,?,0
13,'2019/05/12 08:40:53:072',1,307.266052,399.638428,54.699516,363.379242,385.994629,69.9729,397.184021,386.802734,72.595436,433.791962,386.8414,71.030685,477.149719,388.425964,66.43248,0,0,126.277267,-0.406894,5.43287,-6.945314,?,?,?,?,?,?,0,?,0
14,'2019/05/12 08:40:53:122',1,307.112854,399.562164,54.711372,363.063354,385.897003,69.998398,396.866058,386.742065,72.626915,433.474243,386.764893,71.067894,476.858154,388.37146,66.477905,0,0,125.542793,-0.407355,5.463447,-7.02266,?,?,?,?,?,?,0,?,0
15,'2019/05/12 08:40:53:173',1,307.015259,399.527191,54.729111,362.928375,385.865875,70.022964,396.741699,386.715759,72.653343,433.298889,386.78186,71.095566,476.742065,388.336487,66.508804,0,0,124.790848,-0.404856,5.48636,-7.047807,?,?,?,?,?,?,0,?,0
16,'2019/05/12 08:40:53:222',1,306.941589,399.506348,54.733505,362.819794,385.859161,70.0345,396.648254,386.751648,72.666374,433.168793,386.84726,71.109451,476.619659,388.371277,66.52549,0,0,123.694771,-0.397078,5.501763,-7.066658,?,?,?,?,?,?,0,?,0
17,'2019/05/12 08:40:53:273',1,306.880859,399.514465,54.736771,362.754639,385.907593,70.039635,396.592804,386.798218,72.670975,433.068268,386.934357,71.113289,476.539276,388.43573,66.529961,0,0,122.935211,-0.378702,5.512176,-7.062971,?,?,?,?,?,?,0,?,0
